9
1
6,5,3
0,-6
0,3
-5,7
5,7
-5,3
5,3
1,2
2,3
2,4
3,5
4,6
1
5
6
2
2
4,4,1
0,-5
-6,7
6,7
0,3
1,2
1,3
2,4
3,4
1
4
3
6,5,3
0,-6
-6,4
-3,7
0,4
3,7
6,4
1,4
2,3
3,4
4,5
5,6
1
2
6
4
4
7,5,2
-2,-6
-2,4
2,-6
2,4
-5,7
5,7
0,4
1,2
3,4
2,5
4,6
2,4
1
3
7
5
8,8,3
0,-5
-3,7
3,7
-6,3
6,3
-6,1
6,1
0,5
1,2
1,3
2,4
3,5
4,3
5,2
4,6
5,7
1
6
7
8
6
37,34,3
-7,-1
-6,-2
-3,-2
-3,-3
-2,-4
-1,-4
1,-4
2,-4
3,-3
3,-2
6,-2
7,-1
7,0
6,1
2,1
1,4
2,4
3,5
3,6
2,7
0,7
0,4
-2,7
-3,6
-3,5
-2,4
-1,4
-2,1
-6,1
-7,0
0,1
-1,-1
0,-2
1,-1
0,-5
-3,-5
3,-5
21,22
20,23
15,16
27,28
2,3
10,11
28,29
14,15
36,37
1,2
1,30
30,29
11,12
12,13
13,14
16,17
17,18
18,19
19,20
23,24
24,25
25,26
26,27
31,32
32,33
33,34
34,31
3,4
4,5
5,8
8,9
9,10
6,35
7,35
35
2
11
21
7
16,19,3
-2,-2
2,-2
7,5
4,7
2,4
0,5
-2,4
-4,7
-7,5
-4,0
4,0
-1,0
1,0
-2,2
2,2
0,-2
1,2
2,11
11,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,1
10,11
12,1
13,1
12,15
13,16
11,14
11,16
14,15
16
10
11
6
8
18,16,2
-5,7
-7,0
-5,-7
5,-7
7,0
5,7
-5,-2
-5,2
5,-2
5,2
-2,-2
2,-2
-2,2
2,2
0,-3
0,3
-2,-4
2,-4
1,2
2,3
1,3
4,5
5,6
4,6
7,11
8,13
9,12
14,10
11,15
15,12
13,17
14,18
13,16
14,16
17
18
16
9
18,16,2
-7,0
-7,7
-3,0
-3,5
7,0
7,7
3,0
3,5
-3,-3
3,-3
0,-7
0,6
0,-2
-1,-1
1,-1
0,1
-7,2
7,2
1,2
5,6
2,4
6,8
17,3
7,18
4,9
8,10
9,11
11,10
4,12
12,8
13,14
14,16
16,15
15,13
1
5
12
