9
1,30,0,6,25231,4
108,150,148,150
378,111,431,111
555,309,635,309
70,29,110,79
110,79,66,100
67,100,107,150
148,150,82,183
5,195,81,183
101,298,75,340
78,276,101,298
79,276,119,289
120,289,138,276
138,277,178,340
189,29,229,79
230,78,340,28
196,212,236,228
214,194,196,212
215,194,255,200
237,228,255,200
311,84,351,134
312,84,377,111
351,134,309,270
513,290,553,340
514,290,554,309
310,270,350,302
432,111,502,95
429,267,351,302
502,95,565,197
463,208,429,267
464,208,566,197
389,175
220,213
270,48
70,175
120,325
610,335
389,90
27,320
110,129
559,288
2,42,0,5,28032,4
35,321,87,321
144,135,195,135
585,168,635,168
417,200,477,200
40,290,34,321
27,141,40,289
61,116,27,140
5,66,61,116
88,321,116,300
116,300,156,318
157,318,197,309
198,309,238,340
119,235,89,271
79,164,119,234
117,102,79,163
117,103,144,135
195,135,251,153
90,271,130,259
130,259,170,273
170,273,210,249
210,249,250,243
210,192,250,242
210,191,251,154
586,168,626,205
627,206,635,284
478,200,489,171
370,103,489,171
370,103,501,120
502,120,542,97
520,150,542,98
520,151,538,180
417,200,457,250
457,250,562,282
513,207,538,180
513,208,561,282
178,29,218,62
218,62,229,90
230,90,270,66
271,66,311,74
312,74,329,46
330,46,401,58
402,58,415,29
506,175
184,175
17,155
355,40
620,175
432,179
155,114
595,147
44,300
3,40,0,6,29772,6
153,243,193,243
448,144,502,144
51,81,117,81
506,302,561,302
78,172,118,172
77,318,101,318
419,157,459,207
447,144,419,156
502,144,542,134
543,134,564,116
553,99,564,116
553,99,572,80
573,80,635,66
459,207,475,194
475,194,515,200
516,200,576,218
576,219,555,248
556,248,584,264
585,265,562,302
466,271,506,302
392,317,466,271
5,95,50,81
117,81,157,104
157,105,159,155
154,244,168,263
193,244,200,276
119,172,159,156
201,276,241,294
241,294,281,322
281,322,328,340
392,317,372,340
146,298,168,263
53,187,78,172
53,187,47,237
47,237,69,257
69,257,51,292
127,314,146,298
101,318,126,315
36,299,76,318
36,299,51,293
570,186
70,125
570,175
70,125
20,175
620,225
159,222
456,123
68,60
515,281
80,297
330,320
4,19,0,6,105694,6
579,172,636,172
5,163,58,163
236,86,417,86
579,172,635,210
58,163,5,190
219,97,431,106
197,63,219,97
457,61,431,106
198,63,236,86
458,61,417,86
78,212,124,290
78,212,86,265
86,265,124,290
563,230,511,294
512,294,552,276
563,230,553,275
275,175,372,202
296,244,275,175
296,245,372,202
309,205
320,95
619,182
20,175
539,273
94,258
589,151
14,142
591,320
11,320
245,65
385,65
5,27,0,10,105694,6
554,260,579,260
43,94,93,94
533,88,587,88
52,258,76,258
253,157,393,157
121,237,43,206
101,242,43,206
91,281,121,237
76,258,101,242
51,258,91,281
591,209,513,246
533,251,591,209
549,287,513,246
554,260,533,251
549,287,580,260
517,64,532,88
522,104,587,88
517,64,522,104
115,68,93,94
102,110,43,94
115,68,102,110
284,224,320,124
393,157,284,224
357,231,321,125
253,157,357,232
276,28,316,67
316,67,379,28
320,176
351,167
320,149
289,167
302,202
335,204
96,102
547,269
530,94
88,265
553,239
55,73
540,67
48,237
268,136
348,136
6,33,4,6,105694,4
463,213,482,213
507,213,526,213
460,209,528,209
138,177,157,177
260,100,290,100
314,101,344,101
257,106,348,106
91,172,160,172
460,218,463,218
529,218,526,218
93,182,91,182
160,182,157,182
506,213,506,299
482,213,482,299
463,213,463,218
526,213,526,218
460,209,460,218
529,209,529,218
138,177,138,277
114,177,114,277
94,177,114,177
157,182,157,177
94,182,94,177
91,172,91,182
160,172,160,182
290,50,290,100
314,50,314,101
344,96,344,101
260,96,260,100
256,96,259,96
348,96,345,96
348,96,348,106
256,96,256,106
200,97,440,4.98318,4.159481E-02,-.4000003
302,-129,472.5,3.433177,4.624774,1.45
354,69,41,1.599999,2.891593,1
254,63,36.5,1.681709E-02,1.408415,1
302,72
570,275
67,275
494,235
126,225
495,270
254,79
320,80
111,151
478,188
7,30,10,10,105694,6
276,121,316,121
276,120,315,120
91,263,501,263
565,94,548,300
71,283,547,300
57,85,71,283
91,263,57,85
91,263,501,263
565,93,501,263
152,195,121,28
185,28,152,195
429,192,456,28
387,28,429,192
316,121,349,262
276,120,241,263
285,138,325,188
282,143,322,193
277,146,317,196
273,150,313,200
285,138,325,188
285,138,325,188
286,139,326,189
295,208,335,258
300,200,340,250
300,200,340,250
300,200,340,250
300,200,340,250
300,200,340,250
300,200,340,250
300,200,340,250
302,138,10,0,3.141593,1
302,138,10,0,3.141593,1
302,138,10,0,3.141593,1
302,138,10,0,3.141593,1
302,138,10,0,3.141593,1
302,138,10,0,3.141593,1
302,138,10,0,3.141593,1
302,138,10,0,3.141593,1
302,138,10,0,3.141593,1
302,138,10,0,3.141593,1
307,153
426,125
157,115
320,277
276,176
520,276
85,275
420,75
155,68
286,194
416,242
138,242
588,320
21,320
285,99
285,320
8,8,38,8,105694,8
4,80,56,80
488,288,568,288
587,219,636,219
37,281,89,281
567,84,636,84
64,119,101,119
330,116,388,116
636,150,636,200
383,141,33,6.283182,1.641594,.7499999
335,128,83.5,4.549999,6.0416,.6500002
326,133,26,1.399999,2.891593,.6499999
288,132,13.5,4.599999,.2084147,1.1
308,163,53.5,1.999999,4.941596,.3499998
0,266,52,4.8,5.9916,1.35
76,249,35.5,5.05,8.414693E-03,-5.000013E-02
130,249,18,0,3.141593,.85
241,315,70.5,3.233177,4.774775,-.6500002
179,240,80,3.249998,4.541594,2.499999
569,275,14.5,4.533177,.3415948,.9499999
551,277,31.5,.3,1.841594,.7499999
515,250,31.5,3.399998,5.641598,.1999998
540,240,74.5,2.349999,3.891592,-.7500002
592,188,43.5,3.299998,4.841595,.6999999
529,194,26,5.000001E-02,3.191593,1.3
490,197,30.5,4.549999,5.841475E-02,1.699999
467,290,21,.1499992,2.541594,.5999998
472,286,23,2.933177,4.224773,.6499999
410,313,60,4.583179,.5915949,.4499998
568,72,12,3.249998,4.941596,.9999999
543,73,14,0,3.141593,1.2
631,77,100.5,3.049998,4.891595,.4999999
10,85,74.5,4.633179,6.17478,.1499998
97,110,17.5,4.683179,.1915948,.4999999
97,102,22,5.983184,2.391594,1.15
65,127,13.5,1.6,4.741595,.5499998
75,114,53,4.499999,6.1416,.3999999
99,117,51.5,6.283183,2.141594,1.799999
59,71,25.5,4.599999,5.941599,.2999998
323,155,10,0,3.141593,1
320,173,10,0,3.141593,1
320,173,10,0,3.141593,1
320,173,10,0,3.141593,1
320,173,10,0,3.141593,1
320,173,10,0,3.141593,1
320,173,10,0,3.141593,1
320,173,10,0,3.141593,1
320,173
616,110
520,225
120,325
63,85
320,175
324,175
324,173
515,267
17,59
590,198
49,260
580,63
75,98
340,95
300,320
9,8,44,11,105694,9
66,316,115,316
171,185,210,185
218,97,340,97
333,204,390,204
375,148,415,148
492,90,550,90
510,254,557,254
504,172,587,172
110,338,36,6.133183,1.491595,.5999998
72,302,18,3.133177,4.474774,.8
32,283,76,6.033184,.7915949,3.349998
30,227,18,6.083183,1.841594,.95
30,235,25,1.649999,3.141593,1
181,201,26,1.799999,3.691592,.6499999
226,179,19,3.649998,4.641594,.6499999
215,204,29.5,6.233185,1.241595,-.5500003
205,250,49,1.1,2.041594,.5499999
223,197,29.5,4.93318,6.12478,1.3
182,204,24,3.349998,4.691595,.9
224,103,10,2.099999,4.491594,.6999999
311,94,120.5,3.849998,4.841595,.1999998
335,69,27.5,4.683179,6.12478,1.05
346,95,42.5,.55,1.591594,2.249999
289,131,265,1.35,2.091594,.2999998
193,189,198,1.75,2.291594,.6499999
86,214,125.5,1.849999,2.941593,1.5
327,60,71.5,4.65,5.641598,.7999999
332,73,57,5.883183,.941595,1
502,75,18.5,3.149997,4.141593,1
539,75,55,2.099999,3.141593,1
532,101,35.5,5.733183,1.041595,.3499998
526,103,42,4.7,5.791599,.2499998
519,50,80,3.149998,4.791595,.7999999
455,54,26,1.6,3.141593,1.649999
629,165,51,3.283177,4.874775,1.2
553,241,20,4.900001,.2584147,.6499999
526,253,50.5,.3500001,1.391595,.8
530,197,42,3.449998,4.841595,.3999998
507,202,30.5,1.6,3.141593,1.699999
496,264,19.5,.4999974,3.091593,1.2
521,252,45.5,3.549998,4.691595,.5999999
565,337,44.5,6.183185,1.341595,1
527,316,60.5,.65,1.691594,.5999999
377,160,12.5,1.65,3.141593,1
382,190,16.5,5.23318,1.091595,1
387,142,34,3.699998,4.791595,1.3
411,182,33.5,9.999923E-02,1.441595,1.35
459,207,36,2.249999,3.141593,1
388,215,35.5,4.649999,.2584147,.85
336,214,10,1.6,3.141593,1
356,268,39.5,.71682,1.508415,.85
354,212,27.5,3.149998,4.891595,.7499999
382,219
184,205
320,109
578,212
20,325
470,75
570,275
20,75
20,275
520,106
393,163
345,183
297,76
519,233
73,295
174,164
229,76
379,127
505,69
529,151
!!! -16; -23

x1  x2  y   landspot number commentary
66  115 316 #4
171 210 185 #5
218 340 97  #2 + #6         veery long
333 390 204 #1
375 415 148 #7
492 550 90  #8
510 557 254 #3
504 587 172 #9

66,316,115,316
171,185,210,185
218,97,340,97
333,204,390,204
375,148,415,148
492,90,550,90
510,254,557,254
504,172,587,172
